"Name","State","User","algo_name","env_name","task_variant","eval_ep_reward_means_mean","total_timesteps","trial_completed","Runtime","Created","eval_every_n_steps","seed","trial_num","N_TRIALS","SEED_OFFSET","worker_id","trial_number","parallelism","num_final_eval_batches","num_of_trial_repeats","os","task_configs.allergic_prob","task_configs.allergic_tastiness","task_configs.episode_step_count","task_configs.love_prob","task_configs.love_tastiness","trial_offset","eval_ep_batch_limit","parallelism_override"
"fanciful-paper-68","finished","atomictwoandrei","A2C","MatchingPairs","standard","0","500000","true","10659","2023-10-11T17:39:49.000Z","2083","1","1","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"azure-sound-57","finished","atomictwoandrei","A2C","MatchingPairs","standard","0","500000","true","10606","2023-10-11T14:43:01.000Z","2083","0","0","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"chocolate-glitter-55","finished","atomictwoandrei","RecurrentPPO","AllergicRobot","standard","-0.1247629989151998","500000","true","11834","2023-10-11T14:26:17.000Z","2083","4","4","","","","","single_agent","","1","linux","","","","","","4","10","single_agent"
"fluent-universe-30","finished","atomictwoandrei","RecurrentPPO","AllergicRobot","standard","2.9225965064484627","500000","true","12175","2023-10-11T09:03:00.000Z","2083","3","3","","","","","single_agent","","3","linux","","","","","","2","10","single_agent"
"deft-butterfly-29","finished","atomictwoandrei","RecurrentPPO","NighttimeNibble","standard","0.02111360542476177","500000","true","11795","2023-10-11T09:00:17.000Z","2083","4","4","","","","","single_agent","","2","linux","","","","","","3","10","single_agent"
"sandy-flower-8","finished","atomictwoandrei","RecurrentPPO","NighttimeNibble","standard","-0.04978393583248059","500000","true","11744","2023-10-11T05:44:31.000Z","2083","3","3","","","","","single_agent","","2","linux","","","","","","3","10","single_agent"
"chocolate-sound-7","finished","atomictwoandrei","RecurrentPPO","RecipeRecall","standard","0.2553361507753531","500000","true","11861","2023-10-11T05:42:49.000Z","2083","4","4","","","","","single_agent","","1","linux","","","","","","4","10","single_agent"
"swift-monkey-6","finished","atomictwoandrei","PPO","AllergicRobot","standard","-0.01579050762229599","500000","true","10140","2023-10-11T05:41:26.000Z","2083","4","4","","","","","single_agent","","1","linux","","","","","","4","10","single_agent"
"peach-bird-4","finished","atomictwoandrei","RecurrentPPO","AllergicRobot","standard","-0.14157568668888415","500000","true","12148","2023-10-11T05:40:30.000Z","2083","2","2","","","","","single_agent","","3","linux","","","","","","2","10","single_agent"
"woven-galaxy-4315","finished","atomictwoandrei","PPO","AllergicRobot","standard","1.1456050488826195","500000","true","6405","2023-09-28T08:03:27.000Z","2083","3","3","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"usual-forest-4309","finished","atomictwoandrei","PPO","AllergicRobot","standard","0.15924956539529375","500000","true","6393","2023-09-28T06:16:52.000Z","2083","2","2","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"pretty-jazz-4307","finished","atomictwoandrei","RecurrentPPO","AllergicRobot","standard","3.7270137119592017","500000","true","11973","2023-09-28T06:02:49.000Z","2083","1","1","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"laced-vortex-4305","finished","atomictwoandrei","RecurrentPPO","RecipeRecall","standard","0.22452734555117787","500000","true","11677","2023-09-28T05:58:18.000Z","2083","3","3","","","","","single_agent","","3","linux","","","","","","2","10","single_agent"
"peachy-field-4304","finished","atomictwoandrei","RecurrentPPO","NighttimeNibble","standard","-0.037809526983376904","500000","true","11947","2023-09-28T05:57:12.000Z","2083","2","2","","","","","single_agent","","4","linux","","","","","","1","10","single_agent"
"iconic-feather-4294","finished","atomictwoandrei","PPO","NighttimeNibble","standard","-0.06619022556891044","500000","true","6661","2023-09-28T04:30:39.000Z","2083","4","4","","","","","single_agent","","2","linux","","","","","","3","10","single_agent"
"resilient-pyramid-4293","finished","atomictwoandrei","PPO","AllergicRobot","standard","0.8837215015975137","500000","true","6420","2023-09-28T04:29:50.000Z","2083","1","1","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"devoted-spaceship-4277","finished","atomictwoandrei","RecurrentPPO","RecipeRecall","standard","0.231377291555206","500000","true","11517","2023-09-28T02:46:19.000Z","2083","2","2","","","","","single_agent","","3","linux","","","","","","2","10","single_agent"
"dutiful-wind-4276","finished","atomictwoandrei","RecurrentPPO","AllergicRobot","standard","3.154127814482975","500000","true","11899","2023-09-28T02:44:28.000Z","2083","0","0","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"sandy-sun-4275","finished","atomictwoandrei","PPO","AllergicRobot","standard","0.4652618785582794","500000","true","6397","2023-09-28T02:43:11.000Z","2083","0","0","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"bright-night-4274","finished","atomictwoandrei","PPO","NighttimeNibble","standard","-0.004410909193878373","500000","true","6625","2023-09-28T02:40:13.000Z","2083","3","3","","","","","single_agent","","2","linux","","","","","","3","10","single_agent"
"deep-shape-4273","finished","atomictwoandrei","RecurrentPPO","NighttimeNibble","standard","0.08446293977516083","500000","true","11881","2023-09-28T02:39:09.000Z","2083","1","1","","","","","single_agent","","4","linux","","","","","","1","10","single_agent"
"dashing-brook-4237","finished","atomictwoandrei","PPO","NighttimeNibble","standard","-0.06269801228772849","500000","true","6654","2023-09-27T19:53:57.000Z","2083","2","2","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"sage-galaxy-4233","finished","atomictwoandrei","RecurrentPPO","NighttimeNibble","standard","0.05633727209642529","500000","true","11821","2023-09-27T19:25:59.000Z","2083","0","0","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"amber-dawn-4227","finished","atomictwoandrei","RecurrentPPO","RecipeRecall","standard","0.08537560049444437","500000","true","11677","2023-09-27T18:09:35.000Z","2083","1","1","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"scarlet-firebrand-4225","finished","atomictwoandrei","PPO","NighttimeNibble","standard","0.11025049645492496","500000","true","6703","2023-09-27T18:02:12.000Z","2083","1","1","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"astral-deluge-4219","finished","atomictwoandrei","A2C","AllergicRobot","standard","-0.3025143317160352","500000","true","10521","2023-09-27T17:22:21.000Z","2083","4","4","","","","","single_agent","","2","linux","","","","","","3","10","single_agent"
"vibrant-fire-4211","finished","atomictwoandrei","PPO","NighttimeNibble","standard","0.11979867332071686","500000","true","6694","2023-09-27T16:10:36.000Z","2083","0","0","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"good-pine-4205","finished","atomictwoandrei","RecurrentPPO","RecipeRecall","standard","0.07091831971580784","500000","true","11699","2023-09-27T14:54:34.000Z","2083","0","0","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"dandy-serenity-4198","finished","atomictwoandrei","DQN","AllergicRobot","standard","0.7495243036081471","500000","true","6121","2023-09-27T14:43:57.000Z","2083","4","4","","","","","single_agent","","1","linux","","","","","","4","10","single_agent"
"fanciful-gorge-4197","finished","atomictwoandrei","A2C","AllergicRobot","standard","5.095977947899761","500000","true","10688","2023-09-27T14:24:11.000Z","2083","3","3","","","","","single_agent","","2","linux","","","","","","3","10","single_agent"
"worldly-snow-4180","finished","atomictwoandrei","DQN","AllergicRobot","standard","1.42589277040679","500000","true","6241","2023-09-27T06:24:13.000Z","2083","3","3","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"fearless-plant-4173","finished","atomictwoandrei","A2C","NighttimeNibble","standard","0.006839424050607098","500000","true","6759","2023-09-27T04:41:34.000Z","2083","4","4","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"legendary-grass-4172","finished","atomictwoandrei","DQN","AllergicRobot","standard","0.6702986534529676","500000","true","6167","2023-09-27T04:41:24.000Z","2083","2","2","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"unique-salad-4171","finished","atomictwoandrei","A2C","RecipeRecall","standard","0.05946737130482992","500000","true","6617","2023-09-27T04:37:07.000Z","2083","4","4","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"glorious-eon-4169","finished","atomictwoandrei","PPO","RecipeRecall","standard","0.25427119632562","500000","true","6656","2023-09-27T04:28:09.000Z","2083","4","4","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"vibrant-fire-4168","finished","atomictwoandrei","DQN","NighttimeNibble","standard","0.3806598842027597","500000","true","6568","2023-09-27T04:19:16.000Z","2083","4","4","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"resilient-meadow-4166","finished","atomictwoandrei","DQN","RecipeRecall","standard","0.4176643706858158","500000","true","6455","2023-09-27T04:16:06.000Z","2083","4","4","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"apricot-dawn-4161","finished","atomictwoandrei","A2C","AllergicRobot","standard","-0.30917769214720464","500000","true","10330","2023-09-27T03:00:10.000Z","2083","2","2","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"graceful-sunset-4160","finished","atomictwoandrei","DQN","AllergicRobot","standard","1.0228998747790077","500000","true","6117","2023-09-27T02:59:26.000Z","2083","1","1","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"olive-river-4159","finished","atomictwoandrei","A2C","NighttimeNibble","standard","0.03207680030415456","500000","true","6786","2023-09-27T02:48:26.000Z","2083","3","3","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"glorious-field-4157","finished","atomictwoandrei","A2C","RecipeRecall","standard","0.07733110731157164","500000","true","6801","2023-09-27T02:43:44.000Z","2083","3","3","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"exalted-cloud-4156","finished","atomictwoandrei","PPO","RecipeRecall","standard","0.2767404835205525","500000","true","6627","2023-09-27T02:37:40.000Z","2083","3","3","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"dutiful-water-4154","finished","atomictwoandrei","DQN","NighttimeNibble","standard","0.36548114467101794","500000","true","6523","2023-09-27T02:30:31.000Z","2083","3","3","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"genial-wood-4153","finished","atomictwoandrei","DQN","RecipeRecall","standard","0.27126586688682436","500000","true","6368","2023-09-27T02:29:56.000Z","2083","3","3","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"clean-firefly-4147","finished","atomictwoandrei","DQN","AllergicRobot","standard","1.4199286010174546","500000","true","6099","2023-09-27T01:17:45.000Z","2083","0","0","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"devoted-cloud-4145","finished","atomictwoandrei","A2C","NighttimeNibble","standard","-0.07507094079628587","500000","true","6767","2023-09-27T00:55:38.000Z","2083","2","2","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"lunar-haze-4144","finished","atomictwoandrei","A2C","RecipeRecall","standard","0.23474553351600969","500000","true","6804","2023-09-27T00:50:18.000Z","2083","2","2","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"young-dust-4143","finished","atomictwoandrei","PPO","RecipeRecall","standard","0.2341723618408044","500000","true","6654","2023-09-27T00:46:44.000Z","2083","2","2","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"pleasant-water-4142","finished","atomictwoandrei","DQN","RecipeRecall","standard","0.196875355578959","500000","true","6401","2023-09-27T00:43:12.000Z","2083","2","2","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"gentle-hill-4140","finished","atomictwoandrei","DQN","NighttimeNibble","standard","-0.023656332298802832","500000","true","6484","2023-09-27T00:42:26.000Z","2083","2","2","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"drawn-monkey-4137","finished","atomictwoandrei","A2C","AllergicRobot","standard","0.6612166479753796","500000","true","10554","2023-09-27T00:04:14.000Z","2083","1","1","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"magic-sound-4132","finished","atomictwoandrei","A2C","NighttimeNibble","standard","0.033392873297755914","500000","true","6818","2023-09-26T23:01:59.000Z","2083","1","1","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"daily-pond-4131","finished","atomictwoandrei","DQN","RecipeRecall","standard","0.3954158745706081","500000","true","6358","2023-09-26T22:57:12.000Z","2083","1","1","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"icy-shape-4130","finished","atomictwoandrei","DQN","NighttimeNibble","standard","0.13285485999658703","500000","true","6358","2023-09-26T22:56:26.000Z","2083","1","1","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"young-galaxy-4129","finished","atomictwoandrei","A2C","RecipeRecall","standard","0.4083229445541898","500000","true","6832","2023-09-26T22:56:25.000Z","2083","1","1","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"fine-thunder-4128","finished","atomictwoandrei","PPO","RecipeRecall","standard","0.2463275589669744","500000","true","6637","2023-09-26T22:56:05.000Z","2083","1","1","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"eager-vortex-4120","finished","atomictwoandrei","DQN","RecipeRecall","standard","0.2927614754376312","500000","true","6231","2023-09-26T21:13:19.000Z","2083","0","0","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"restful-surf-4119","finished","atomictwoandrei","DQN","NighttimeNibble","standard","0.5436077626092204","500000","true","6341","2023-09-26T21:10:44.000Z","2083","0","0","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"rare-sunset-4118","finished","atomictwoandrei","A2C","NighttimeNibble","standard","0.06633145810725788","500000","true","6797","2023-09-26T21:08:41.000Z","2083","0","0","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"dark-galaxy-4116","finished","atomictwoandrei","A2C","AllergicRobot","standard","0.5169430567436696","500000","true","10700","2023-09-26T21:05:53.000Z","2083","0","0","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"eager-sun-4115","finished","atomictwoandrei","PPO","RecipeRecall","standard","0.1952550352551043","500000","true","6642","2023-09-26T21:05:21.000Z","2083","0","0","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
"dry-capybara-4114","finished","atomictwoandrei","A2C","RecipeRecall","standard","0.27421408196290337","500000","true","6694","2023-09-26T21:04:49.000Z","2083","0","0","","","","","single_agent","","5","linux","","","","","","0","10","single_agent"
